#    L    TT             EE             TE             PP             TP          
     2   0.108527E+04   0.472510E-01   0.324303E+01   0.109042E+07   0.302864E+05
     3   0.102375E+04   0.750288E-01   0.399028E+01   0.168199E+07   0.362480E+05
     4   0.963295E+03   0.821302E-01   0.405082E+01   0.220750E+07   0.390921E+05
     5   0.916170E+03   0.709526E-01   0.371357E+01   0.267238E+07   0.402513E+05
     6   0.882107E+03   0.510884E-01   0.321298E+01   0.308358E+07   0.404731E+05
     7   0.859031E+03   0.317927E-01   0.267444E+01   0.344899E+07   0.401940E+05
     8   0.844042E+03   0.181036E-01   0.216258E+01   0.377492E+07   0.395902E+05
     9   0.835246E+03   0.106335E-01   0.173235E+01   0.406696E+07   0.387343E+05
    10   0.831241E+03   0.749092E-02   0.141065E+01   0.432898E+07   0.377170E+05
    11   0.830727E+03   0.639607E-02   0.119897E+01   0.456505E+07   0.366635E+05
    12   0.833766E+03   0.586448E-02   0.108529E+01   0.477816E+07   0.356430E+05
    13   0.838614E+03   0.547104E-02   0.104595E+01   0.497084E+07   0.346937E+05
    14   0.844581E+03   0.497038E-02   0.106195E+01   0.514508E+07   0.337976E+05
    15   0.852001E+03   0.451739E-02   0.111457E+01   0.530277E+07   0.329223E+05
    16   0.861225E+03   0.435311E-02   0.118605E+01   0.544567E+07   0.320426E+05
    17   0.872006E+03   0.461372E-02   0.126147E+01   0.557504E+07   0.311614E+05
    18   0.883295E+03   0.516947E-02   0.133037E+01   0.569207E+07   0.302888E+05
    19   0.896199E+03   0.578014E-02   0.139043E+01   0.579793E+07   0.294345E+05
    20   0.909298E+03   0.629169E-02   0.143951E+01   0.589377E+07   0.286087E+05
    21   0.922750E+03   0.672938E-02   0.148142E+01   0.598065E+07   0.278192E+05
    22   0.936627E+03   0.723027E-02   0.151782E+01   0.605917E+07   0.270658E+05
    23   0.950721E+03   0.796029E-02   0.155191E+01   0.612981E+07   0.263463E+05
    24   0.965123E+03   0.902893E-02   0.158723E+01   0.619305E+07   0.256585E+05
    25   0.979848E+03   0.104536E-01   0.162643E+01   0.624937E+07   0.250000E+05
    26   0.994762E+03   0.121832E-01   0.167256E+01   0.629926E+07   0.243687E+05
    27   0.101003E+04   0.141499E-01   0.172381E+01   0.634320E+07   0.237623E+05
    28   0.102544E+04   0.163167E-01   0.177832E+01   0.638167E+07   0.231786E+05
    29   0.104116E+04   0.186742E-01   0.183361E+01   0.641515E+07   0.226154E+05
    30   0.105721E+04   0.212280E-01   0.188551E+01   0.644413E+07   0.220703E+05
    31   0.107337E+04   0.239767E-01   0.193014E+01   0.646903E+07   0.215415E+05
    32   0.108979E+04   0.269046E-01   0.196442E+01   0.649011E+07   0.210285E+05
    33   0.110654E+04   0.299838E-01   0.198527E+01   0.650756E+07   0.205309E+05
    34   0.112355E+04   0.332006E-01   0.199087E+01   0.652157E+07   0.200485E+05
    35   0.114081E+04   0.365621E-01   0.198162E+01   0.653235E+07   0.195811E+05
    36   0.115825E+04   0.400940E-01   0.195779E+01   0.654008E+07   0.191285E+05
    37   0.117578E+04   0.438427E-01   0.192067E+01   0.654497E+07   0.186903E+05
    38   0.119362E+04   0.478555E-01   0.187350E+01   0.654721E+07   0.182663E+05
    39   0.121178E+04   0.521335E-01   0.181735E+01   0.654699E+07   0.178563E+05
    40   0.123002E+04   0.566720E-01   0.175256E+01   0.654452E+07   0.174600E+05
