#    L    TT             EE             TE             PP             TP          
     2   0.107810E+04   0.466846E-01   0.324037E+01   0.109475E+07   0.298723E+05
     3   0.101860E+04   0.745155E-01   0.398806E+01   0.168820E+07   0.357850E+05
     4   0.959566E+03   0.820461E-01   0.405333E+01   0.221524E+07   0.386147E+05
     5   0.913416E+03   0.713411E-01   0.372138E+01   0.268135E+07   0.397766E+05
     6   0.880001E+03   0.517309E-01   0.322474E+01   0.309359E+07   0.400079E+05
     7   0.857354E+03   0.324142E-01   0.268950E+01   0.345985E+07   0.397408E+05
     8   0.842666E+03   0.185367E-01   0.217960E+01   0.378650E+07   0.391506E+05
     9   0.834087E+03   0.108614E-01   0.174873E+01   0.407915E+07   0.383102E+05
    10   0.830239E+03   0.759175E-02   0.142453E+01   0.434170E+07   0.373092E+05
    11   0.829841E+03   0.645628E-02   0.120899E+01   0.457821E+07   0.362707E+05
    12   0.832962E+03   0.592531E-02   0.109141E+01   0.479171E+07   0.352634E+05
    13   0.837864E+03   0.552940E-02   0.104942E+01   0.498473E+07   0.343256E+05
    14   0.843863E+03   0.501941E-02   0.106394E+01   0.515927E+07   0.334400E+05
    15   0.851301E+03   0.455661E-02   0.111588E+01   0.531721E+07   0.325755E+05
    16   0.860536E+03   0.438701E-02   0.118710E+01   0.546033E+07   0.317077E+05
    17   0.871320E+03   0.464621E-02   0.126255E+01   0.558990E+07   0.308392E+05
    18   0.882606E+03   0.520246E-02   0.133164E+01   0.570710E+07   0.299796E+05
    19   0.895499E+03   0.581357E-02   0.139196E+01   0.581310E+07   0.291383E+05
    20   0.908581E+03   0.632350E-02   0.144126E+01   0.590907E+07   0.283248E+05
    21   0.922008E+03   0.675598E-02   0.148326E+01   0.599607E+07   0.275466E+05
    22   0.935854E+03   0.724815E-02   0.151965E+01   0.607468E+07   0.268035E+05
    23   0.949910E+03   0.796649E-02   0.155362E+01   0.614540E+07   0.260934E+05
    24   0.964268E+03   0.902101E-02   0.158877E+01   0.620872E+07   0.254142E+05
    25   0.978943E+03   0.104296E-01   0.162778E+01   0.626510E+07   0.247637E+05
    26   0.993801E+03   0.121419E-01   0.167371E+01   0.631504E+07   0.241397E+05
    27   0.100901E+04   0.140903E-01   0.172480E+01   0.635902E+07   0.235402E+05
    28   0.102435E+04   0.162385E-01   0.177919E+01   0.639752E+07   0.229630E+05
    29   0.104001E+04   0.185776E-01   0.183446E+01   0.643102E+07   0.224059E+05
    30   0.105598E+04   0.211138E-01   0.188646E+01   0.646002E+07   0.218669E+05
    31   0.107206E+04   0.238460E-01   0.193132E+01   0.648494E+07   0.213440E+05
    32   0.108840E+04   0.267583E-01   0.196598E+01   0.650602E+07   0.208368E+05
    33   0.110507E+04   0.298226E-01   0.198733E+01   0.652347E+07   0.203450E+05
    34   0.112199E+04   0.330248E-01   0.199355E+01   0.653749E+07   0.198683E+05
    35   0.113916E+04   0.363716E-01   0.198503E+01   0.654826E+07   0.194065E+05
    36   0.115650E+04   0.398885E-01   0.196202E+01   0.655598E+07   0.189593E+05
    37   0.117394E+04   0.436216E-01   0.192581E+01   0.656085E+07   0.185265E+05
    38   0.119169E+04   0.476178E-01   0.187963E+01   0.656308E+07   0.181079E+05
    39   0.120974E+04   0.518778E-01   0.182454E+01   0.656284E+07   0.177031E+05
    40   0.122789E+04   0.563967E-01   0.176086E+01   0.656035E+07   0.173120E+05
    41   0.124626E+04   0.611770E-01   0.168865E+01   0.655577E+07   0.169342E+05
    42   0.126463E+04   0.662319E-01   0.160764E+01   0.654924E+07   0.165693E+05
    43   0.128316E+04   0.715771E-01   0.151755E+01   0.654085E+07   0.162170E+05
    44   0.130169E+04   0.772135E-01   0.141895E+01   0.653071E+07   0.158766E+05
    45   0.132058E+04   0.831525E-01   0.131252E+01   0.651892E+07   0.155479E+05
    46   0.133977E+04   0.894014E-01   0.119653E+01   0.650559E+07   0.152303E+05
    47   0.135911E+04   0.959398E-01   0.106965E+01   0.649081E+07   0.149234E+05
    48   0.137850E+04   0.102747E+00   0.933280E+00   0.647470E+07   0.146268E+05
    49   0.139804E+04   0.109780E+00   0.788232E+00   0.645735E+07   0.143399E+05
    50   0.141794E+04   0.116988E+00   0.628535E+00   0.643887E+07   0.140625E+05
    51   0.143798E+04   0.124328E+00   0.447785E+00   0.641936E+07   0.137939E+05
    52   0.145838E+04   0.131912E+00   0.243460E+00   0.639887E+07   0.135339E+05
    53   0.147877E+04   0.139923E+00   0.158646E-01   0.637745E+07   0.132822E+05
    54   0.149908E+04   0.148393E+00  -0.226731E+00   0.635515E+07   0.130385E+05
    55   0.151955E+04   0.157334E+00  -0.475941E+00   0.633202E+07   0.128024E+05
    56   0.154039E+04   0.166628E+00  -0.730520E+00   0.630812E+07   0.125737E+05
    57   0.156155E+04   0.176140E+00  -0.991484E+00   0.628348E+07   0.123519E+05
    58   0.158301E+04   0.185841E+00  -0.126165E+01   0.625815E+07   0.121369E+05
    59   0.160464E+04   0.195728E+00  -0.154385E+01   0.623220E+07   0.119282E+05
    60   0.162643E+04   0.205817E+00  -0.183949E+01   0.620566E+07   0.117256E+05
    61   0.164870E+04   0.216175E+00  -0.214942E+01   0.617859E+07   0.115288E+05
    62   0.167084E+04   0.226812E+00  -0.247469E+01   0.615101E+07   0.113372E+05
    63   0.169307E+04   0.237725E+00  -0.281602E+01   0.612298E+07   0.111507E+05
    64   0.171569E+04   0.248961E+00  -0.317435E+01   0.609452E+07   0.109686E+05
    65   0.173831E+04   0.260532E+00  -0.355003E+01   0.606568E+07   0.107906E+05
    66   0.176124E+04   0.272398E+00  -0.394089E+01   0.603648E+07   0.106164E+05
    67   0.178432E+04   0.284546E+00  -0.434371E+01   0.600697E+07   0.104454E+05
    68   0.180783E+04   0.296996E+00  -0.475631E+01   0.597717E+07   0.102773E+05
    69   0.183157E+04   0.309685E+00  -0.517645E+01   0.594714E+07   0.101117E+05
    70   0.185566E+04   0.322631E+00  -0.560528E+01   0.591691E+07   0.994807E+04
    71   0.187996E+04   0.335807E+00  -0.604492E+01   0.588650E+07   0.978625E+04
    72   0.190448E+04   0.349198E+00  -0.649732E+01   0.585593E+07   0.962648E+04
    73   0.192913E+04   0.362789E+00  -0.696391E+01   0.582523E+07   0.946914E+04
    74   0.195393E+04   0.376586E+00  -0.744462E+01   0.579439E+07   0.931465E+04
    75   0.197894E+04   0.390618E+00  -0.793877E+01   0.576343E+07   0.916340E+04
    76   0.200412E+04   0.404900E+00  -0.844631E+01   0.573237E+07   0.901579E+04
    77   0.202951E+04   0.419414E+00  -0.896663E+01   0.570122E+07   0.887223E+04
    78   0.205522E+04   0.434176E+00  -0.950050E+01   0.566998E+07   0.873311E+04
    79   0.208109E+04   0.449118E+00  -0.100435E+02   0.563868E+07   0.859884E+04
    80   0.210727E+04   0.464230E+00  -0.105963E+02   0.560732E+07   0.846981E+04
    81   0.213370E+04   0.479453E+00  -0.111589E+02   0.557592E+07   0.834629E+04
    82   0.216044E+04   0.494801E+00  -0.117303E+02   0.554450E+07   0.822799E+04
    83   0.218742E+04   0.510245E+00  -0.123105E+02   0.551305E+07   0.811446E+04
    84   0.221471E+04   0.525777E+00  -0.128976E+02   0.548161E+07   0.800527E+04
    85   0.224216E+04   0.541368E+00  -0.134929E+02   0.545018E+07   0.789999E+04
    86   0.226984E+04   0.557023E+00  -0.140955E+02   0.541878E+07   0.779819E+04
    87   0.229797E+04   0.572707E+00  -0.147044E+02   0.538742E+07   0.769942E+04
    88   0.232611E+04   0.588426E+00  -0.153194E+02   0.535612E+07   0.760326E+04
    89   0.235461E+04   0.604158E+00  -0.159417E+02   0.532489E+07   0.750927E+04
    90   0.238333E+04   0.619858E+00  -0.165682E+02   0.529374E+07   0.741701E+04
