#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.104501E-04   0.198309E+08   0.198309E+08   0.264274E+08   0.264270E+08   0.000000E+00   0.198309E+08   0.198309E+08   0.198387E+08  -0.471825E+00   0.103990E+08   0.103990E+08   0.115300E+01
   0.127095E-04   0.198309E+08   0.198309E+08   0.264207E+08   0.264202E+08   0.000000E+00   0.198309E+08   0.198309E+08   0.198386E+08  -0.471824E+00   0.103990E+08   0.103990E+08   0.140215E+01
   0.154573E-04   0.198309E+08   0.198309E+08   0.264109E+08   0.264102E+08   0.000000E+00   0.198309E+08   0.198309E+08   0.198386E+08  -0.471824E+00   0.103990E+08   0.103990E+08   0.170507E+01
   0.187992E-04   0.198308E+08   0.198308E+08   0.263963E+08   0.263953E+08   0.000000E+00   0.198308E+08   0.198308E+08   0.198386E+08  -0.471823E+00   0.103989E+08   0.103989E+08   0.207330E+01
   0.228637E-04   0.198308E+08   0.198308E+08   0.263749E+08   0.263734E+08   0.000000E+00   0.198308E+08   0.198308E+08   0.198385E+08  -0.471822E+00   0.103989E+08   0.103989E+08   0.252082E+01
   0.278068E-04   0.198307E+08   0.198307E+08   0.263431E+08   0.263409E+08   0.000000E+00   0.198307E+08   0.198307E+08   0.198385E+08  -0.471820E+00   0.103989E+08   0.103989E+08   0.306450E+01
   0.338188E-04   0.198306E+08   0.198306E+08   0.262962E+08   0.262929E+08   0.000000E+00   0.198306E+08   0.198306E+08   0.198384E+08  -0.471817E+00   0.103988E+08   0.103988E+08   0.372468E+01
   0.411305E-04   0.198305E+08   0.198305E+08   0.262270E+08   0.262221E+08   0.000000E+00   0.198305E+08   0.198305E+08   0.198382E+08  -0.471813E+00   0.103988E+08   0.103988E+08   0.452569E+01
   0.500230E-04   0.198303E+08   0.198303E+08   0.261249E+08   0.261177E+08   0.000000E+00   0.198303E+08   0.198303E+08   0.198380E+08  -0.471807E+00   0.103987E+08   0.103987E+08   0.549647E+01
   0.608381E-04   0.198300E+08   0.198300E+08   0.259745E+08   0.259640E+08   0.000000E+00   0.198300E+08   0.198300E+08   0.198376E+08  -0.471798E+00   0.103985E+08   0.103985E+08   0.667102E+01
   0.739915E-04   0.198296E+08   0.198296E+08   0.257536E+08   0.257381E+08   0.000000E+00   0.198296E+08   0.198296E+08   0.198371E+08  -0.471784E+00   0.103983E+08   0.103983E+08   0.808859E+01
   0.899887E-04   0.198289E+08   0.198289E+08   0.254300E+08   0.254073E+08   0.000000E+00   0.198289E+08   0.198289E+08   0.198364E+08  -0.471765E+00   0.103979E+08   0.103979E+08   0.979311E+01
   0.109444E-03   0.198280E+08   0.198280E+08   0.249582E+08   0.249252E+08   0.000000E+00   0.198280E+08   0.198280E+08   0.198353E+08  -0.471736E+00   0.103974E+08   0.103974E+08   0.118314E+02
   0.133107E-03   0.198266E+08   0.198265E+08   0.242750E+08   0.242273E+08   0.000000E+00   0.198266E+08   0.198266E+08   0.198337E+08  -0.471694E+00   0.103967E+08   0.103967E+08   0.142488E+02
   0.161885E-03   0.198245E+08   0.198244E+08   0.232962E+08   0.232278E+08   0.000000E+00   0.198245E+08   0.198245E+08   0.198313E+08  -0.471632E+00   0.103956E+08   0.103956E+08   0.170806E+02
   0.196885E-03   0.198214E+08   0.198214E+08   0.219149E+08   0.218187E+08   0.000000E+00   0.198214E+08   0.198214E+08   0.198279E+08  -0.471541E+00   0.103939E+08   0.103939E+08   0.203366E+02
   0.239452E-03   0.198170E+08   0.198169E+08   0.200105E+08   0.198781E+08   0.000000E+00   0.198170E+08   0.198170E+08   0.198228E+08  -0.471409E+00   0.103916E+08   0.103916E+08   0.239751E+02
   0.291222E-03   0.198105E+08   0.198103E+08   0.174742E+08   0.172986E+08   0.000000E+00   0.198104E+08   0.198104E+08   0.198155E+08  -0.471219E+00   0.103881E+08   0.103881E+08   0.278645E+02
   0.354185E-03   0.198010E+08   0.198008E+08   0.142699E+08   0.140497E+08   0.000000E+00   0.198010E+08   0.198010E+08   0.198051E+08  -0.470948E+00   0.103830E+08   0.103830E+08   0.317345E+02
   0.430761E-03   0.197874E+08   0.197870E+08   0.105374E+08   0.102842E+08   0.000000E+00   0.197873E+08   0.197873E+08   0.197904E+08  -0.470567E+00   0.103758E+08   0.103757E+08   0.351361E+02
   0.523892E-03   0.197679E+08   0.197675E+08   0.671131E+07   0.645834E+07   0.000000E+00   0.197679E+08   0.197679E+08   0.197698E+08  -0.470041E+00   0.103654E+08   0.103654E+08   0.374584E+02
   0.637159E-03   0.197406E+08   0.197401E+08   0.352704E+07   0.332986E+07   0.000000E+00   0.197405E+08   0.197405E+08   0.197416E+08  -0.469328E+00   0.103508E+08   0.103508E+08   0.380799E+02
   0.774915E-03   0.197029E+08   0.197021E+08   0.167338E+07   0.158427E+07   0.000000E+00   0.197027E+08   0.197027E+08   0.197032E+08  -0.468379E+00   0.103307E+08   0.103306E+08   0.366903E+02
   0.942454E-03   0.196515E+08   0.196506E+08   0.106914E+07   0.108380E+07   0.000000E+00   0.196513E+08   0.196513E+08   0.196517E+08  -0.467126E+00   0.103035E+08   0.103034E+08   0.335780E+02
   0.114621E-02   0.195826E+08   0.195816E+08   0.726199E+06   0.768143E+06   0.000000E+00   0.195825E+08   0.195825E+08   0.195827E+08  -0.465474E+00   0.102671E+08   0.102670E+08   0.294037E+02
   0.139403E-02   0.194916E+08   0.194904E+08   0.259908E+06   0.283414E+06   0.000000E+00   0.194914E+08   0.194914E+08   0.194915E+08  -0.463297E+00   0.102192E+08   0.102191E+08   0.246060E+02
   0.169542E-02   0.193725E+08   0.193712E+08   0.159728E+06  -0.168798E+06   0.000000E+00   0.193723E+08   0.193723E+08   0.193723E+08  -0.460456E+00   0.101566E+08   0.101565E+08   0.197552E+02
