#    L    TT             EE             TE             PP             TP          
     2   0.107695E+04   0.466567E-01   0.323326E+01   0.109469E+07   0.298901E+05
     3   0.101756E+04   0.744864E-01   0.398132E+01   0.168810E+07   0.357998E+05
     4   0.958641E+03   0.820278E-01   0.404799E+01   0.221509E+07   0.386253E+05
     5   0.912571E+03   0.713373E-01   0.371753E+01   0.268116E+07   0.397834E+05
     6   0.879216E+03   0.517376E-01   0.322203E+01   0.309334E+07   0.400120E+05
     7   0.856611E+03   0.324241E-01   0.268764E+01   0.345956E+07   0.397434E+05
     8   0.841956E+03   0.185446E-01   0.217833E+01   0.378616E+07   0.391527E+05
     9   0.833401E+03   0.108655E-01   0.174779E+01   0.407877E+07   0.383124E+05
    10   0.829571E+03   0.759321E-02   0.142378E+01   0.434126E+07   0.373116E+05
    11   0.829187E+03   0.645679E-02   0.120829E+01   0.457773E+07   0.362731E+05
    12   0.832321E+03   0.592577E-02   0.109070E+01   0.479119E+07   0.352654E+05
    13   0.837237E+03   0.552992E-02   0.104872E+01   0.498415E+07   0.343272E+05
    14   0.843250E+03   0.501996E-02   0.106327E+01   0.515864E+07   0.334412E+05
    15   0.850702E+03   0.455716E-02   0.111520E+01   0.531654E+07   0.325763E+05
    16   0.859951E+03   0.438757E-02   0.118640E+01   0.545961E+07   0.317081E+05
    17   0.870750E+03   0.464676E-02   0.126180E+01   0.558914E+07   0.308395E+05
    18   0.882051E+03   0.520297E-02   0.133081E+01   0.570629E+07   0.299797E+05
    19   0.894959E+03   0.581399E-02   0.139105E+01   0.581224E+07   0.291384E+05
    20   0.908057E+03   0.632376E-02   0.144025E+01   0.590817E+07   0.283248E+05
    21   0.921500E+03   0.675599E-02   0.148215E+01   0.599511E+07   0.275465E+05
    22   0.935362E+03   0.724783E-02   0.151844E+01   0.607368E+07   0.268033E+05
    23   0.949436E+03   0.796577E-02   0.155231E+01   0.614436E+07   0.260931E+05
    24   0.963811E+03   0.901983E-02   0.158736E+01   0.620763E+07   0.254137E+05
    25   0.978503E+03   0.104279E-01   0.162626E+01   0.626396E+07   0.247630E+05
    26   0.993380E+03   0.121397E-01   0.167209E+01   0.631386E+07   0.241389E+05
    27   0.100860E+04   0.140875E-01   0.172307E+01   0.635779E+07   0.235393E+05
    28   0.102397E+04   0.162352E-01   0.177736E+01   0.639625E+07   0.229619E+05
    29   0.103964E+04   0.185738E-01   0.183252E+01   0.642971E+07   0.224047E+05
    30   0.105563E+04   0.211095E-01   0.188442E+01   0.645866E+07   0.218655E+05
    31   0.107173E+04   0.238412E-01   0.192918E+01   0.648354E+07   0.213425E+05
    32   0.108809E+04   0.267531E-01   0.196374E+01   0.650458E+07   0.208351E+05
    33   0.110478E+04   0.298169E-01   0.198499E+01   0.652199E+07   0.203432E+05
    34   0.112173E+04   0.330187E-01   0.199110E+01   0.653596E+07   0.198664E+05
    35   0.113892E+04   0.363651E-01   0.198248E+01   0.654668E+07   0.194045E+05
    36   0.115628E+04   0.398816E-01   0.195937E+01   0.655437E+07   0.189572E+05
    37   0.117373E+04   0.436142E-01   0.192306E+01   0.655920E+07   0.185243E+05
    38   0.119150E+04   0.476099E-01   0.187677E+01   0.656138E+07   0.181056E+05
    39   0.120958E+04   0.518695E-01   0.182158E+01   0.656110E+07   0.177007E+05
    40   0.122775E+04   0.563878E-01   0.175779E+01   0.655857E+07   0.173095E+05
    41   0.124614E+04   0.611674E-01   0.168547E+01   0.655396E+07   0.169317E+05
    42   0.126454E+04   0.662217E-01   0.160435E+01   0.654738E+07   0.165668E+05
    43   0.128309E+04   0.715662E-01   0.151415E+01   0.653896E+07   0.162144E+05
    44   0.130163E+04   0.772019E-01   0.141544E+01   0.652877E+07   0.158741E+05
    45   0.132055E+04   0.831402E-01   0.130890E+01   0.651695E+07   0.155453E+05
    46   0.133977E+04   0.893884E-01   0.119280E+01   0.650357E+07   0.152277E+05
    47   0.135912E+04   0.959261E-01   0.106581E+01   0.648876E+07   0.149208E+05
    48   0.137854E+04   0.102732E+00   0.929331E+00   0.647261E+07   0.146241E+05
    49   0.139811E+04   0.109765E+00   0.784176E+00   0.645522E+07   0.143373E+05
    50   0.141803E+04   0.116972E+00   0.624374E+00   0.643671E+07   0.140597E+05
    51   0.143809E+04   0.124312E+00   0.443520E+00   0.641716E+07   0.137911E+05
    52   0.145851E+04   0.131895E+00   0.239095E+00   0.639663E+07   0.135310E+05
    53   0.147892E+04   0.139906E+00   0.113993E-01   0.637518E+07   0.132792E+05
    54   0.149926E+04   0.148375E+00  -0.231296E+00   0.635284E+07   0.130354E+05
    55   0.151975E+04   0.157316E+00  -0.480605E+00   0.632968E+07   0.127992E+05
    56   0.154062E+04   0.166610E+00  -0.735285E+00   0.630574E+07   0.125703E+05
    57   0.156180E+04   0.176122E+00  -0.996351E+00   0.628106E+07   0.123485E+05
    58   0.158328E+04   0.185822E+00  -0.126662E+01   0.625571E+07   0.121334E+05
    59   0.160493E+04   0.195709E+00  -0.154892E+01   0.622972E+07   0.119246E+05
    60   0.162675E+04   0.205798E+00  -0.184467E+01   0.620315E+07   0.117220E+05
    61   0.164905E+04   0.216156E+00  -0.215472E+01   0.617604E+07   0.115251E+05
    62   0.167121E+04   0.226793E+00  -0.248010E+01   0.614843E+07   0.113335E+05
    63   0.169347E+04   0.237705E+00  -0.282155E+01   0.612037E+07   0.111469E+05
    64   0.171610E+04   0.248942E+00  -0.318001E+01   0.609188E+07   0.109649E+05
    65   0.173875E+04   0.260513E+00  -0.355582E+01   0.606300E+07   0.107869E+05
    66   0.176170E+04   0.272379E+00  -0.394681E+01   0.603377E+07   0.106127E+05
    67   0.178480E+04   0.284528E+00  -0.434975E+01   0.600423E+07   0.104417E+05
    68   0.180835E+04   0.296978E+00  -0.476248E+01   0.597441E+07   0.102736E+05
    69   0.183210E+04   0.309667E+00  -0.518274E+01   0.594434E+07   0.101080E+05
    70   0.185622E+04   0.322613E+00  -0.561170E+01   0.591408E+07   0.994445E+04
    71   0.188055E+04   0.335790E+00  -0.605147E+01   0.588364E+07   0.978264E+04
    72   0.190508E+04   0.349182E+00  -0.650401E+01   0.585305E+07   0.962286E+04
    73   0.192976E+04   0.362774E+00  -0.697072E+01   0.582231E+07   0.946552E+04
    74   0.195458E+04   0.376572E+00  -0.745156E+01   0.579144E+07   0.931101E+04
    75   0.197963E+04   0.390605E+00  -0.794584E+01   0.576046E+07   0.915973E+04
    76   0.200482E+04   0.404888E+00  -0.845352E+01   0.572937E+07   0.901209E+04
    77   0.203024E+04   0.419404E+00  -0.897398E+01   0.569819E+07   0.886849E+04
    78   0.205597E+04   0.434168E+00  -0.950799E+01   0.566693E+07   0.872933E+04
    79   0.208187E+04   0.449112E+00  -0.100511E+02   0.563560E+07   0.859502E+04
    80   0.210807E+04   0.464227E+00  -0.106040E+02   0.560422E+07   0.846594E+04
    81   0.213452E+04   0.479452E+00  -0.111668E+02   0.557279E+07   0.834236E+04
    82   0.216129E+04   0.494804E+00  -0.117384E+02   0.554134E+07   0.822400E+04
    83   0.218829E+04   0.510251E+00  -0.123188E+02   0.550987E+07   0.811041E+04
    84   0.221561E+04   0.525786E+00  -0.129060E+02   0.547840E+07   0.800117E+04
    85   0.224308E+04   0.541381E+00  -0.135015E+02   0.544695E+07   0.789583E+04
    86   0.227078E+04   0.557040E+00  -0.141043E+02   0.541553E+07   0.779397E+04
    87   0.229894E+04   0.572729E+00  -0.147134E+02   0.538414E+07   0.769515E+04
